frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
32,True,True,1.000000,0.000000,-4415.890137,18.629999,0.000000,604.539978,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
33,True,True,1.000000,0.000000,-4410.779785,18.629999,0.000000,620.880005,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
34,True,True,1.000000,0.000000,-4405.540039,18.629999,0.000000,637.079956,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
35,True,True,1.000000,0.000000,-4400.159668,18.629999,0.000000,653.140015,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
36,True,True,1.000000,0.000000,-4394.649902,18.629999,0.000000,669.059998,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
37,True,True,1.000000,0.000000,-4389.009766,18.629999,0.000000,684.849976,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
38,True,True,1.000000,0.000000,-4383.229980,18.629999,0.000000,700.500000,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
39,True,True,1.000000,0.000000,-4377.319824,18.629999,0.000000,716.019958,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
40,True,True,1.000000,0.000000,-4371.279785,18.629999,0.000000,731.399963,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
41,True,True,1.000000,0.000000,-4365.120117,18.629999,0.000000,746.649963,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
42,True,True,1.000000,0.000000,-4358.830078,18.629999,0.000000,761.769958,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
43,True,True,1.000000,0.000000,-4352.409668,18.629999,0.000000,776.760010,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
44,True,True,1.000000,0.000000,-4345.870117,18.629999,0.000000,791.619995,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
45,True,True,1.000000,0.000000,-4339.199707,18.629999,0.000000,806.359985,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
46,True,True,1.000000,0.000000,-4332.409668,18.629999,0.000000,820.969971,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
47,True,True,1.000000,0.000000,-4325.500000,18.629999,0.000000,835.449951,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
48,True,True,1.000000,0.000000,-4318.469727,18.629999,0.000000,849.809998,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
49,True,True,1.000000,0.000000,-4311.319824,18.629999,0.000000,864.049988,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
50,True,True,1.000000,0.000000,-4304.049805,18.629999,0.000000,878.169983,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
51,True,True,1.000000,0.000000,-4296.659668,18.629999,0.000000,892.159973,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
52,True,True,1.000000,0.000000,-4289.159668,18.629999,0.000000,906.029968,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
53,True,True,1.000000,0.000000,-4281.540039,18.629999,0.000000,919.789978,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
54,True,True,1.000000,0.000000,-4273.810059,18.629999,0.000000,933.429993,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
55,True,True,1.000000,0.000000,-4265.959961,18.629999,0.000000,946.949951,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
56,True,True,1.000000,0.000000,-4258.000000,18.629999,0.000000,960.349976,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
57,True,True,1.000000,0.000000,-4249.929688,18.629999,0.000000,973.639954,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
58,True,True,1.000000,0.000000,-4241.750000,18.629999,0.000000,986.820007,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
59,True,True,1.000000,0.000000,-4233.459961,18.629999,0.000000,999.880005,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
60,True,True,1.000000,0.000000,-4225.060059,18.629999,0.000000,1012.829956,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
61,True,True,1.000000,0.000000,-4216.549805,18.629999,0.000000,1025.669922,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
62,True,True,1.000000,0.000000,-4207.929688,18.629999,0.000000,1038.400024,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
63,True,True,1.000000,0.000000,-4199.209961,18.629999,0.000000,1051.020020,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
64,True,True,1.000000,0.000000,-4190.379883,18.629999,0.000000,1063.530029,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
65,True,True,1.000000,0.000000,-4181.449707,18.629999,0.000000,1075.939941,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
66,True,True,1.000000,0.000000,-4172.409668,18.629999,0.000000,1088.239990,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
67,True,True,1.000000,0.000000,-4163.270020,18.629999,0.000000,1100.429932,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
68,True,True,1.000000,0.000000,-4154.029785,18.629999,0.000000,1112.520020,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
69,True,True,1.000000,0.000000,-4144.689941,18.629999,0.000000,1124.510010,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
70,True,True,1.000000,0.000000,-4135.250000,18.629999,0.000000,1136.390015,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
71,True,True,1.000000,0.000000,-4125.709961,18.629999,0.000000,1148.169922,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
72,True,True,1.000000,0.000000,-4116.069824,18.629999,0.000000,1159.849976,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
73,True,True,1.000000,0.000000,-4106.339844,18.629999,0.000000,1171.429932,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
74,True,True,1.000000,0.000000,-4096.509766,18.629999,0.000000,1182.910034,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
75,True,True,1.000000,0.000000,-4086.579834,18.629999,0.000000,1194.289917,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
76,True,True,1.000000,0.000000,-4076.559814,18.629999,0.000000,1205.569946,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
77,True,True,1.000000,0.000000,-4066.439941,18.629999,0.000000,1216.760010,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
78,True,True,1.000000,0.000000,-4056.229980,18.629999,0.000000,1227.849976,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
79,True,True,1.000000,0.000000,-4045.929932,18.629999,0.000000,1238.849976,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
80,True,True,1.000000,0.000000,-4035.539795,18.629999,0.000000,1249.750000,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
81,True,True,1.000000,0.000000,-4025.059814,18.629999,0.000000,1260.559937,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
82,True,True,1.000000,0.000000,-4014.489990,18.629999,0.000000,1271.280029,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
83,True,True,1.000000,0.000000,-4003.829834,18.629999,0.000000,1281.900024,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
84,True,True,1.000000,0.000000,-3993.079834,18.629999,0.000000,1292.429932,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
85,True,True,1.000000,0.000000,-3982.239990,18.629999,0.000000,1302.869995,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
86,True,True,1.000000,0.000000,-3971.309814,18.629999,0.000000,1313.219971,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
87,True,True,1.000000,0.000000,-3960.299805,18.629999,0.000000,1323.489990,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
88,True,True,1.000000,0.000000,-3949.199951,18.629999,0.000000,1333.669922,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
89,True,True,1.000000,0.000000,-3938.020020,18.629999,0.000000,1343.760010,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
90,True,True,1.000000,0.000000,-3926.750000,18.629999,0.000000,1353.760010,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
91,True,True,1.000000,0.000000,-3915.399902,18.629999,0.000000,1363.679932,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000000,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
